City,Date,Crop,Price
AhmadPurEast,2008-04-01,Apple (Ammre),3500
AhmadPurEast,2008-04-02,Apple (Ammre),3750
AhmadPurEast,2008-04-03,Apple (Ammre),3500
AhmadPurEast,2008-04-05,Apple (Ammre),3500
AhmadPurEast,2008-04-07,Apple (Ammre),3750
AhmadPurEast,2008-04-08,Apple (Ammre),4000
AhmadPurEast,2008-04-09,Apple (Ammre),4250
AhmadPurEast,2008-04-10,Apple (Ammre),5000
AhmadPurEast,2008-04-11,Apple (Ammre),4500
AhmadPurEast,2008-04-12,Apple (Ammre),4500
AhmadPurEast,2008-04-14,Apple (Ammre),6500
AhmadPurEast,2008-04-15,Apple (Ammre),6500
AhmadPurEast,2008-04-16,Apple (Ammre),6000
AhmadPurEast,2008-04-17,Apple (Ammre),6500
AhmadPurEast,2008-04-18,Apple (Ammre),6300
AhmadPurEast,2008-04-19,Apple (Ammre),6500
AhmadPurEast,2008-04-21,Apple (Ammre),4000
AhmadPurEast,2008-04-22,Apple (Ammre),3500
AhmadPurEast,2008-04-23,Apple (Ammre),3500
AhmadPurEast,2008-04-24,Apple (Ammre),5500
AhmadPurEast,2008-04-25,Apple (Ammre),5750
AhmadPurEast,2008-04-26,Apple (Ammre),5750
AhmadPurEast,2008-04-28,Apple (Ammre),5500
AhmadPurEast,2008-04-29,Apple (Ammre),5500
AhmadPurEast,2008-04-30,Apple (Ammre),5250
AhmadPurEast,2007-12-01,Apple (Ammre),2000
AhmadPurEast,2007-12-02,Apple (Ammre),2200
AhmadPurEast,2007-12-03,Apple (Ammre),2200
AhmadPurEast,2007-12-04,Apple (Ammre),2200
AhmadPurEast,2007-12-05,Apple (Ammre),2200
AhmadPurEast,2007-12-06,Apple (Ammre),2200
AhmadPurEast,2007-12-08,Apple (Ammre),3250
AhmadPurEast,2007-12-10,Apple (Ammre),3400
AhmadPurEast,2007-12-11,Apple (Ammre),3250
AhmadPurEast,2007-12-12,Apple (Ammre),2250
AhmadPurEast,2007-12-13,Apple (Ammre),2200
AhmadPurEast,2007-12-14,Apple (Ammre),2200
AhmadPurEast,2007-12-15,Apple (Ammre),2100
AhmadPurEast,2007-12-17,Apple (Ammre),2000
AhmadPurEast,2007-12-18,Apple (Ammre),1900
AhmadPurEast,2007-12-19,Apple (Ammre),2000
AhmadPurEast,2007-12-26,Apple (Ammre),2200
AhmadPurEast,2007-12-27,Apple (Ammre),2100
AhmadPurEast,2008-12-03,Apple (Ammre),2200
AhmadPurEast,2008-12-04,Apple (Ammre),2200
AhmadPurEast,2008-12-05,Apple (Ammre),2200
AhmadPurEast,2008-12-11,Apple (Ammre),2200
AhmadPurEast,2008-12-13,Apple (Ammre),2200
AhmadPurEast,2008-12-15,Apple (Ammre),2200
AhmadPurEast,2008-12-17,Apple (Ammre),2200
AhmadPurEast,2008-12-19,Apple (Ammre),2200
AhmadPurEast,2008-12-20,Apple (Ammre),2200
AhmadPurEast,2008-12-22,Apple (Ammre),2200
AhmadPurEast,2008-12-23,Apple (Ammre),2400
AhmadPurEast,2008-02-01,Apple (Ammre),2750
AhmadPurEast,2008-02-04,Apple (Ammre),3100
AhmadPurEast,2008-02-06,Apple (Ammre),2900
AhmadPurEast,2008-02-07,Apple (Ammre),2800
AhmadPurEast,2008-02-08,Apple (Ammre),3400
AhmadPurEast,2008-02-09,Apple (Ammre),3400
AhmadPurEast,2008-02-11,Apple (Ammre),3400
AhmadPurEast,2008-02-12,Apple (Ammre),3100
AhmadPurEast,2008-02-13,Apple (Ammre),3400
AhmadPurEast,2008-02-14,Apple (Ammre),3250
AhmadPurEast,2008-02-15,Apple (Ammre),3400
AhmadPurEast,2008-02-16,Apple (Ammre),3250
AhmadPurEast,2008-02-19,Apple (Ammre),3400
AhmadPurEast,2008-02-20,Apple (Ammre),2750
AhmadPurEast,2008-02-21,Apple (Ammre),3250
AhmadPurEast,2008-02-22,Apple (Ammre),3250
AhmadPurEast,2008-02-24,Apple (Ammre),3250
AhmadPurEast,2008-02-25,Apple (Ammre),3800
AhmadPurEast,2008-02-26,Apple (Ammre),3800
AhmadPurEast,2008-01-01,Apple (Ammre),2750
AhmadPurEast,2008-01-02,Apple (Ammre),2750
AhmadPurEast,2008-01-03,Apple (Ammre),1800
AhmadPurEast,2008-01-04,Apple (Ammre),1800
AhmadPurEast,2008-01-08,Apple (Ammre),1800
AhmadPurEast,2008-01-09,Apple (Ammre),2900
AhmadPurEast,2008-01-10,Apple (Ammre),2700
AhmadPurEast,2008-01-11,Apple (Ammre),2900
AhmadPurEast,2008-01-12,Apple (Ammre),2700
AhmadPurEast,2008-01-14,Apple (Ammre),2700
AhmadPurEast,2008-01-15,Apple (Ammre),3000
AhmadPurEast,2008-01-16,Apple (Ammre),3000
AhmadPurEast,2008-01-17,Apple (Ammre),2800
AhmadPurEast,2008-01-18,Apple (Ammre),2800
AhmadPurEast,2008-01-21,Apple (Ammre),2750
AhmadPurEast,2008-01-22,Apple (Ammre),2800
AhmadPurEast,2008-01-23,Apple (Ammre),2750
AhmadPurEast,2008-01-24,Apple (Ammre),2750
AhmadPurEast,2008-01-25,Apple (Ammre),2700
AhmadPurEast,2008-01-26,Apple (Ammre),2750
AhmadPurEast,2008-01-28,Apple (Ammre),2750
AhmadPurEast,2008-01-29,Apple (Ammre),2500
AhmadPurEast,2008-01-30,Apple (Ammre),3000
AhmadPurEast,2008-01-31,Apple (Ammre),2750
AhmadPurEast,2008-03-01,Apple (Ammre),3400
AhmadPurEast,2008-03-03,Apple (Ammre),3250
AhmadPurEast,2008-03-04,Apple (Ammre),3000
AhmadPurEast,2008-03-05,Apple (Ammre),3100
AhmadPurEast,2008-03-06,Apple (Ammre),3400
AhmadPurEast,2008-03-07,Apple (Ammre),3400
AhmadPurEast,2008-03-08,Apple (Ammre),3250
AhmadPurEast,2008-03-10,Apple (Ammre),3500
AhmadPurEast,2008-03-11,Apple (Ammre),3750
AhmadPurEast,2008-03-12,Apple (Ammre),3400
AhmadPurEast,2008-03-14,Apple (Ammre),3250
AhmadPurEast,2008-03-15,Apple (Ammre),3400
AhmadPurEast,2008-03-17,Apple (Ammre),3250
AhmadPurEast,2008-03-18,Apple (Ammre),3250
AhmadPurEast,2008-03-19,Apple (Ammre),3250
AhmadPurEast,2008-03-22,Apple (Ammre),3100
AhmadPurEast,2008-03-24,Apple (Ammre),3500
AhmadPurEast,2008-03-25,Apple (Ammre),3250
AhmadPurEast,2008-03-26,Apple (Ammre),3500
AhmadPurEast,2008-03-27,Apple (Ammre),3750
AhmadPurEast,2008-03-28,Apple (Ammre),3750
AhmadPurEast,2008-03-29,Apple (Ammre),3500
AhmadPurEast,2008-03-31,Apple (Ammre),3800
AhmadPurEast,2009-03-03,Apple (Ammre),4200
AhmadPurEast,2009-03-04,Apple (Ammre),4500
AhmadPurEast,2009-03-05,Apple (Ammre),4500
AhmadPurEast,2009-03-07,Apple (Ammre),4500
AhmadPurEast,2009-03-11,Apple (Ammre),4500
AhmadPurEast,2009-03-13,Apple (Ammre),4500
AhmadPurEast,2009-03-16,Apple (Ammre),4500
AhmadPurEast,2009-03-18,Apple (Ammre),4500
AhmadPurEast,2009-03-20,Apple (Ammre),4500
AhmadPurEast,2008-05-02,Apple (Ammre),4500
AhmadPurEast,2008-05-03,Apple (Ammre),5000
AhmadPurEast,2008-05-05,Apple (Ammre),5000
AhmadPurEast,2008-05-06,Apple (Ammre),5500
AhmadPurEast,2008-05-07,Apple (Ammre),5300
AhmadPurEast,2008-05-08,Apple (Ammre),5500
AhmadPurEast,2008-05-09,Apple (Ammre),5500
AhmadPurEast,2008-05-10,Apple (Ammre),5300
AhmadPurEast,2008-05-12,Apple (Ammre),5500
AhmadPurEast,2008-05-14,Apple (Ammre),5000
AhmadPurEast,2008-05-15,Apple (Ammre),5000
AhmadPurEast,2008-05-17,Apple (Ammre),5500
AhmadPurEast,2008-05-19,Apple (Ammre),5500
AhmadPurEast,2008-05-20,Apple (Ammre),5300
AhmadPurEast,2008-05-21,Apple (Ammre),4500
AhmadPurEast,2008-05-22,Apple (Ammre),5000
AhmadPurEast,2007-11-01,Apple (Ammre),1500
AhmadPurEast,2007-11-02,Apple (Ammre),1500
AhmadPurEast,2007-11-05,Apple (Ammre),1500
AhmadPurEast,2007-11-06,Apple (Ammre),1600
AhmadPurEast,2007-11-09,Apple (Ammre),1500
AhmadPurEast,2007-11-10,Apple (Ammre),1500
AhmadPurEast,2007-11-13,Apple (Ammre),2200
AhmadPurEast,2007-11-15,Apple (Ammre),2200
AhmadPurEast,2007-11-16,Apple (Ammre),2200
AhmadPurEast,2007-11-17,Apple (Ammre),2200
AhmadPurEast,2007-11-19,Apple (Ammre),2250
AhmadPurEast,2007-11-20,Apple (Ammre),2100
AhmadPurEast,2007-11-21,Apple (Ammre),2200
AhmadPurEast,2007-11-22,Apple (Ammre),2100
AhmadPurEast,2007-11-23,Apple (Ammre),1800
AhmadPurEast,2007-11-24,Apple (Ammre),1750
AhmadPurEast,2007-11-26,Apple (Ammre),1600
AhmadPurEast,2007-11-28,Apple (Ammre),2200
AhmadPurEast,2007-11-29,Apple (Ammre),2200
AhmadPurEast,2007-11-30,Apple (Ammre),2200
AhmadPurEast,2008-11-01,Apple (Ammre),2200
AhmadPurEast,2008-11-04,Apple (Ammre),2200
AhmadPurEast,2008-11-06,Apple (Ammre),2200
AhmadPurEast,2008-11-07,Apple (Ammre),2200
AhmadPurEast,2008-11-08,Apple (Ammre),2250
AhmadPurEast,2008-11-10,Apple (Ammre),2200
AhmadPurEast,2008-11-11,Apple (Ammre),2250
AhmadPurEast,2008-11-12,Apple (Ammre),2250
AhmadPurEast,2008-11-14,Apple (Ammre),2250
AhmadPurEast,2008-11-15,Apple (Ammre),2200
AhmadPurEast,2008-11-18,Apple (Ammre),2200
AhmadPurEast,2008-11-19,Apple (Ammre),2200
AhmadPurEast,2008-11-21,Apple (Ammre),2200
AhmadPurEast,2008-11-22,Apple (Ammre),2200
AhmadPurEast,2008-11-24,Apple (Ammre),2200
AhmadPurEast,2008-11-25,Apple (Ammre),2200
AhmadPurEast,2008-11-26,Apple (Ammre),2200
AhmadPurEast,2008-11-28,Apple (Ammre),2200
AhmadPurEast,2007-10-01,Apple (Ammre),2600
AhmadPurEast,2007-10-02,Apple (Ammre),2500
AhmadPurEast,2007-10-03,Apple (Ammre),2600
AhmadPurEast,2007-10-04,Apple (Ammre),2600
AhmadPurEast,2007-10-05,Apple (Ammre),2500
AhmadPurEast,2007-10-06,Apple (Ammre),8250
AhmadPurEast,2007-10-08,Apple (Ammre),8250
AhmadPurEast,2007-10-09,Apple (Ammre),8000
AhmadPurEast,2007-10-10,Apple (Ammre),7750
AhmadPurEast,2007-10-13,Apple (Ammre),8250
AhmadPurEast,2007-10-18,Apple (Ammre),7750
AhmadPurEast,2007-10-19,Apple (Ammre),2200
AhmadPurEast,2007-10-20,Apple (Ammre),2200
AhmadPurEast,2007-10-22,Apple (Ammre),2100
AhmadPurEast,2007-10-23,Apple (Ammre),2250
AhmadPurEast,2007-10-24,Apple (Ammre),2250
AhmadPurEast,2007-10-25,Apple (Ammre),2200
AhmadPurEast,2007-10-26,Apple (Ammre),2100
AhmadPurEast,2007-10-27,Apple (Ammre),2200
AhmadPurEast,2007-10-29,Apple (Ammre),1500
AhmadPurEast,2007-10-31,Apple (Ammre),1500
AhmadPurEast,2008-10-06,Apple (Ammre),2200
AhmadPurEast,2008-10-08,Apple (Ammre),2200
AhmadPurEast,2008-10-09,Apple (Ammre),2250
AhmadPurEast,2008-10-13,Apple (Ammre),2200
AhmadPurEast,2008-10-14,Apple (Ammre),2250
AhmadPurEast,2008-10-15,Apple (Ammre),2250
AhmadPurEast,2008-10-16,Apple (Ammre),2200
AhmadPurEast,2008-10-17,Apple (Ammre),2200
AhmadPurEast,2008-10-18,Apple (Ammre),2400
AhmadPurEast,2008-10-20,Apple (Ammre),2200
AhmadPurEast,2008-10-22,Apple (Ammre),2250
AhmadPurEast,2008-10-25,Apple (Ammre),2200
AhmadPurEast,2008-10-28,Apple (Ammre),2200
AhmadPurEast,2008-10-29,Apple (Ammre),2250
AhmadPurEast,2008-10-30,Apple (Ammre),2200
AhmadPurEast,2008-10-31,Apple (Ammre),2200
AhmadPurEast,2007-09-16,Apple (Ammre),2000
AhmadPurEast,2007-09-18,Apple (Ammre),2200
AhmadPurEast,2007-09-19,Apple (Ammre),2200
AhmadPurEast,2007-09-21,Apple (Ammre),2200
AhmadPurEast,2007-09-22,Apple (Ammre),2100
AhmadPurEast,2007-09-29,Apple (Ammre),2600
Okara,2012-04-02,Apple (Ammre),7000
Okara,2012-04-03,Apple (Ammre),7050
Okara,2012-04-04,Apple (Ammre),6800
Okara,2012-04-05,Apple (Ammre),6750
Okara,2012-04-06,Apple (Ammre),6900
Okara,2012-04-07,Apple (Ammre),6750
Okara,2012-04-09,Apple (Ammre),7250
Okara,2012-04-10,Apple (Ammre),6750
Okara,2012-04-11,Apple (Ammre),7050
Okara,2012-04-12,Apple (Ammre),7250
Okara,2012-04-13,Apple (Ammre),7250
Okara,2012-04-14,Apple (Ammre),7000
Okara,2012-04-17,Apple (Ammre),7000
Okara,2012-04-18,Apple (Ammre),7250
Okara,2012-04-19,Apple (Ammre),7000
Okara,2012-04-20,Apple (Ammre),7250
Okara,2012-04-21,Apple (Ammre),6750
Okara,2012-04-23,Apple (Ammre),7250
Okara,2012-04-25,Apple (Ammre),7250
Okara,2012-04-26,Apple (Ammre),7250
Okara,2012-04-27,Apple (Ammre),7250
Okara,2012-04-28,Apple (Ammre),7250
Okara,2012-04-29,Apple (Ammre),6750
Okara,2019-04-06,Apple (Ammre),8750
Okara,2019-04-08,Apple (Ammre),9750
Okara,2019-04-09,Apple (Ammre),9750
Okara,2019-04-10,Apple (Ammre),10250
Okara,2019-04-12,Apple (Ammre),10750
Okara,2019-04-13,Apple (Ammre),10750
Okara,2019-04-15,Apple (Ammre),10750
Okara,2019-04-16,Apple (Ammre),10750
Okara,2019-04-17,Apple (Ammre),10750
Okara,2019-04-18,Apple (Ammre),10750
Okara,2019-04-19,Apple (Ammre),10750
Okara,2019-04-20,Apple (Ammre),10750
Okara,2019-04-22,Apple (Ammre),10750
Okara,2019-04-23,Apple (Ammre),10750
Okara,2019-04-24,Apple (Ammre),10750
Okara,2019-04-25,Apple (Ammre),10750
Okara,2019-04-26,Apple (Ammre),10750
Okara,2019-04-27,Apple (Ammre),10750
Okara,2019-04-29,Apple (Ammre),10750
Okara,2019-04-30,Apple (Ammre),11750
Okara,2007-08-15,Apple (Ammre),3900
Okara,2007-08-16,Apple (Ammre),3900
Okara,2007-08-21,Apple (Ammre),4000
Okara,2007-08-25,Apple (Ammre),4250
Okara,2007-08-28,Apple (Ammre),4250
Okara,2007-08-30,Apple (Ammre),4250
Okara,2007-08-31,Apple (Ammre),4250
Okara,2012-02-06,Apple (Ammre),6750
Okara,2012-02-07,Apple (Ammre),6750
Okara,2012-02-08,Apple (Ammre),6750
Okara,2012-02-09,Apple (Ammre),6750
Okara,2012-02-10,Apple (Ammre),6750
Okara,2012-02-11,Apple (Ammre),6750
Okara,2012-02-13,Apple (Ammre),6750
Okara,2012-02-14,Apple (Ammre),6750
Okara,2012-02-15,Apple (Ammre),6750
Okara,2012-02-16,Apple (Ammre),6750
Okara,2012-02-17,Apple (Ammre),6750
Okara,2012-02-18,Apple (Ammre),6750
Okara,2012-02-20,Apple (Ammre),6750
Okara,2012-02-21,Apple (Ammre),6750
Okara,2012-02-22,Apple (Ammre),6750
Okara,2012-02-23,Apple (Ammre),6750
Okara,2012-02-24,Apple (Ammre),6250
Okara,2012-02-25,Apple (Ammre),6250
Okara,2012-02-27,Apple (Ammre),6750
Okara,2012-02-29,Apple (Ammre),6750
Okara,2012-01-21,Apple (Ammre),6750
Okara,2007-07-02,Apple (Ammre),3900
Okara,2007-07-03,Apple (Ammre),3900
Okara,2007-07-04,Apple (Ammre),3900
Okara,2007-07-05,Apple (Ammre),3900
Okara,2007-07-06,Apple (Ammre),3900
Okara,2007-07-07,Apple (Ammre),3900
Okara,2007-07-10,Apple (Ammre),3900
Okara,2007-07-11,Apple (Ammre),3900
Okara,2007-07-12,Apple (Ammre),3900
Okara,2007-07-13,Apple (Ammre),3900
Okara,2007-07-14,Apple (Ammre),3900
Okara,2007-07-16,Apple (Ammre),3900
Okara,2007-07-17,Apple (Ammre),3900
Okara,2007-07-18,Apple (Ammre),3900
Okara,2007-07-19,Apple (Ammre),3900
Okara,2007-07-20,Apple (Ammre),3900
Okara,2007-07-21,Apple (Ammre),3900
Okara,2007-07-23,Apple (Ammre),3900
Okara,2007-07-25,Apple (Ammre),3900
Okara,2007-07-26,Apple (Ammre),3900
Okara,2007-07-27,Apple (Ammre),3900
Okara,2007-07-28,Apple (Ammre),3900
Okara,2007-07-30,Apple (Ammre),3900
Okara,2007-07-31,Apple (Ammre),3950
Okara,2012-07-05,Apple (Ammre),9750
Okara,2012-07-06,Apple (Ammre),10250
Okara,2012-07-09,Apple (Ammre),10300
