City,Date,Crop,Price
AhmadPurEast,2021-04-01,Apple (Gatcha),6500
AhmadPurEast,2015-08-01,Apple (Gatcha),8150
AhmadPurEast,2015-08-03,Apple (Gatcha),3200
AhmadPurEast,2015-08-04,Apple (Gatcha),8250
AhmadPurEast,2015-08-06,Apple (Gatcha),8250
AhmadPurEast,2015-08-07,Apple (Gatcha),8750
AhmadPurEast,2015-08-10,Apple (Gatcha),8750
AhmadPurEast,2015-08-11,Apple (Gatcha),8550
AhmadPurEast,2015-08-12,Apple (Gatcha),8300
AhmadPurEast,2015-08-13,Apple (Gatcha),8450
AhmadPurEast,2015-08-15,Apple (Gatcha),8000
AhmadPurEast,2015-08-17,Apple (Gatcha),8900
AhmadPurEast,2015-08-18,Apple (Gatcha),8000
AhmadPurEast,2015-08-19,Apple (Gatcha),9500
AhmadPurEast,2015-08-20,Apple (Gatcha),10250
AhmadPurEast,2015-08-21,Apple (Gatcha),9500
AhmadPurEast,2015-08-22,Apple (Gatcha),7500
AhmadPurEast,2015-08-24,Apple (Gatcha),9500
AhmadPurEast,2015-08-25,Apple (Gatcha),9500
AhmadPurEast,2015-08-26,Apple (Gatcha),10500
AhmadPurEast,2015-08-27,Apple (Gatcha),10000
AhmadPurEast,2015-08-29,Apple (Gatcha),8000
AhmadPurEast,2015-08-31,Apple (Gatcha),9500
AhmadPurEast,2016-08-01,Apple (Gatcha),7000
AhmadPurEast,2016-08-02,Apple (Gatcha),8000
AhmadPurEast,2016-08-03,Apple (Gatcha),6750
AhmadPurEast,2016-08-04,Apple (Gatcha),7000
AhmadPurEast,2016-08-05,Apple (Gatcha),7000
AhmadPurEast,2016-08-08,Apple (Gatcha),7000
AhmadPurEast,2016-08-09,Apple (Gatcha),7000
AhmadPurEast,2016-08-10,Apple (Gatcha),6500
AhmadPurEast,2016-08-11,Apple (Gatcha),7000
AhmadPurEast,2016-08-12,Apple (Gatcha),7000
AhmadPurEast,2016-08-13,Apple (Gatcha),7000
AhmadPurEast,2016-08-15,Apple (Gatcha),7000
AhmadPurEast,2016-08-16,Apple (Gatcha),7000
AhmadPurEast,2016-08-18,Apple (Gatcha),7000
AhmadPurEast,2016-08-20,Apple (Gatcha),9500
AhmadPurEast,2016-08-22,Apple (Gatcha),10500
AhmadPurEast,2016-08-23,Apple (Gatcha),11000
AhmadPurEast,2016-08-24,Apple (Gatcha),10000
AhmadPurEast,2016-08-25,Apple (Gatcha),9000
AhmadPurEast,2016-08-26,Apple (Gatcha),11000
AhmadPurEast,2016-08-27,Apple (Gatcha),10500
AhmadPurEast,2016-08-29,Apple (Gatcha),10500
AhmadPurEast,2016-08-31,Apple (Gatcha),10500
AhmadPurEast,2017-08-02,Apple (Gatcha),9500
AhmadPurEast,2017-08-03,Apple (Gatcha),9000
AhmadPurEast,2017-08-04,Apple (Gatcha),10500
AhmadPurEast,2017-08-07,Apple (Gatcha),10500
AhmadPurEast,2017-08-09,Apple (Gatcha),9500
AhmadPurEast,2017-08-15,Apple (Gatcha),10500
AhmadPurEast,2017-08-16,Apple (Gatcha),11500
