City,Date,Crop,Price
AhmadPurEast,2016-08-01,Apricot White,12000
AhmadPurEast,2016-08-02,Apricot White,9000
AhmadPurEast,2016-08-03,Apricot White,8250
AhmadPurEast,2016-08-04,Apricot White,9000
AhmadPurEast,2016-08-08,Apricot White,8650
AhmadPurEast,2017-08-02,Apricot White,13500
AhmadPurEast,2017-08-03,Apricot White,11500
AhmadPurEast,2017-08-04,Apricot White,14500
AhmadPurEast,2017-08-07,Apricot White,15500
AhmadPurEast,2017-08-09,Apricot White,14500
AhmadPurEast,2018-08-01,Apricot White,12500
AhmadPurEast,2018-08-02,Apricot White,18500
AhmadPurEast,2018-08-03,Apricot White,16500
AhmadPurEast,2018-08-04,Apricot White,16500
AhmadPurEast,2018-08-06,Apricot White,16500
AhmadPurEast,2018-08-07,Apricot White,16500
AhmadPurEast,2019-08-01,Apricot White,10500
AhmadPurEast,2019-08-02,Apricot White,8500
AhmadPurEast,2019-08-03,Apricot White,8500
AhmadPurEast,2019-08-05,Apricot White,8500
AhmadPurEast,2019-08-06,Apricot White,8500
AhmadPurEast,2019-08-07,Apricot White,7500
AhmadPurEast,2020-08-03,Apricot White,12500
AhmadPurEast,2020-08-04,Apricot White,12500
AhmadPurEast,2020-08-05,Apricot White,12500
AhmadPurEast,2020-08-06,Apricot White,16500
AhmadPurEast,2020-08-07,Apricot White,16500
AhmadPurEast,2020-08-08,Apricot White,16500
AhmadPurEast,2020-08-26,Apricot White,12500
AhmadPurEast,2021-08-02,Apricot White,28500
AhmadPurEast,2021-08-03,Apricot White,28500
AhmadPurEast,2021-08-04,Apricot White,28500
AhmadPurEast,2021-08-05,Apricot White,28500
AhmadPurEast,2021-08-06,Apricot White,28500
AhmadPurEast,2021-08-07,Apricot White,28500
AhmadPurEast,2021-08-09,Apricot White,28500
AhmadPurEast,2021-08-10,Apricot White,28500
AhmadPurEast,2021-08-11,Apricot White,28500
AhmadPurEast,2021-08-12,Apricot White,28500
AhmadPurEast,2021-08-13,Apricot White,28500
AhmadPurEast,2021-08-16,Apricot White,28500
AhmadPurEast,2021-08-17,Apricot White,28500
AhmadPurEast,2021-08-20,Apricot White,28500
AhmadPurEast,2021-08-21,Apricot White,28500
AhmadPurEast,2021-08-23,Apricot White,28500
